Acc;Gyr;Label
0,00200301;1,15698E-06;Ride
0,000587408;4,72094E-06;Ride
0,002355061;6,84087E-06;Ride
0,001086873;7,09074E-06;Ride
0,001200024;6,0677E-06;Ride
0,001642032;5,06192E-06;Ride
0,001167113;3,6291E-06;Ride
0,03750231;0,051507064;Ride
0,013765232;0,051956058;Ride
0,122537689;0,069974954;Ride
0,045329882;0,00260588;Ride
0,002448943;0,000567283;Ride
0,013976297;0,012874527;Ride
0,28550153;0,286155706;Ride
42,09628938;0,147910131;Ride
2,491821309;0,015649829;Ride
0,049288002;0,007153012;Ride
0,028764682;0,001166822;Ride
0,10339438;0,033134845;Ride
7,256474888;0,028750485;Ride
10,73315578;0,039210549;Ride
27,4672622;0,087213614;Ride
14,607664;0,262945021;Ride
7,825977854;0,024392093;Ride
10,03140717;0,010250406;Ride
16,78794569;0,039141429;Ride
19,13489612;0,0082309;Ride
10,78179177;0,038873043;Ride
76,65105098;0,038464826;Ride
16,41794214;0,022533622;Ride
15,08998543;0,035675833;Ride
12,17698947;0,033123556;Ride
11,57282245;0,005687474;Ride
9,687983699;0,022885881;Ride
14,57448645;0,02565976;Ride
34,43698936;0,084737992;Ride
22,87062971;0,021305247;Ride
9,497215276;0,026526498;Ride
26,92668373;0,040446085;Ride
17,92981751;0,030118567;Ride
23,58183952;0,001133903;Ride
20,7692206;0,006334757;Ride
15,40531835;0,015653337;Ride
0;0;Ride
1,975372916;0;Ride
11,75125424;0;Ride
0,093487984;0;Ride
3,50605E-30;0;Ride
0,326805155;0,009430418;Ride
3,50605E-30;3,42388E-33;Ride
7,672498058;0,004181484;Ride
1,40242E-29;8,55969E-34;Ride
7,285395042;0,007962828;Ride
41,34168989;0,026123827;Ride
68,93048312;0,015880594;Ride
250,1749642;0,055645863;Ride
62,26091371;0,040669949;Ride
89,09664004;0,01077365;Ride
72,75100189;0,009428017;Ride
37,17876638;0,013189573;Ride
30,01432671;0,003806463;Ride
53,06014689;0,01100447;Ride
