Acc;Gyr;x_acc;y_acc;z_acc;x_gyr;y_gyr;z_gyr;Label
0,00200301;1,15698E-06;0,022086853;0,003063313;0,009275689;2,64735E-06;4,39001E-06;3,41651E-06;Ride
0,000587408;4,72094E-06;0,000633521;0,000714079;0,000470108;2,03141E-05;6,97425E-06;4,98353E-06;Ride
0,002355061;6,84087E-06;0,000619246;0,00234135;0,00028961;1,40877E-05;3,43068E-05;6,58434E-06;Ride
0,001086873;7,09074E-06;0,000424217;0,000906561;0,000818097;1,45642E-05;1,10179E-05;1,31178E-05;Ride
0,001200024;6,0677E-06;0,000902482;0,001244106;0,000510897;9,97795E-06;1,85614E-06;1,18015E-05;Ride
0,001642032;5,06192E-06;0,00052747;0,001255572;0,001698145;1,21021E-05;4,71206E-06;1,46074E-05;Ride
0,001167113;3,6291E-06;0,003299159;0,00103023;0,00045481;3,24345E-06;2,25157E-06;9,67287E-06;Ride
0,03750231;0,051507064;0,422759802;0,002104774;0,001955126;2,89017E-05;0,044298404;0,009832391;Ride
0,013765232;0,051956058;1,402345019;0,00865364;0,017622373;0,000278481;0,083083198;0,035836034;Ride
0,122537689;0,069974954;0,843876356;0,084934466;0,130955841;0,003588182;0,065438779;0,013043296;Ride
0,045329882;0,00260588;0,169846493;0,049763023;0,031902014;0,000799353;0,001613215;0,002823454;Ride
0,002448943;0,000567283;0,045505527;0,004960053;0,022577613;0,000738023;0,000340352;0,002274466;Ride
0,013976297;0,012874527;0,272172759;0,00866385;0,099789092;0,000902593;0,017048078;0,003829658;Ride
0,28550153;0,286155706;0,441357149;0,301026764;1,162763935;0,001336775;0,361224341;0,02041159;Ride
42,09628938;0,147910131;3,53680036;45,24809343;1,614632322;0,003822088;0,148746474;0,016226845;Ride
2,491821309;0,015649829;0,291165659;2,445727708;0,166849441;0,003319757;0,017222015;0,002168543;Ride
0,049288002;0,007153012;0,268843206;0,045777872;0,230760523;0,001474757;0,032000174;0,002064364;Ride
0,028764682;0,001166822;0,028016737;0,027457974;0,127061389;0,000474298;0,000375211;0,001561223;Ride
0,10339438;0,033134845;0,208087284;0,136927814;0,089088041;0,001905737;0,031843936;0,003902226;Ride
7,256474888;0,028750485;0,958045077;7,930498968;0,59744991;0,002486503;0,029812076;0,003048121;Ride
10,73315578;0,039210549;1,225394152;10,75899252;8,186987012;0,005021061;0,126374931;0,000750844;Ride
27,4672622;0,087213614;0,790641416;26,27816343;6,571793788;0,001728687;0,139026432;0,006329278;Ride
